n,e=0,e=0.0001,e=0.001,e=0.01,e=0.1
3,0.7037037037037037,0.7030592592592592,0.6972592592592592,0.6392592592592592,0.1333333333333333
4,0.68359375,0.6827,0.67465625,0.59421875,0.04999999999999999
5,0.6723199999999999,0.67117536,0.6608736000000001,0.5578559999999999,0.0
6,0.665102023319616,0.6637057784636489,0.6511395747599452,0.5254775377229081,0.0
7,0.6600833229108861,0.6584350896067358,0.6436009898693814,0.49525999249583824,0.0
8,0.6563910841941833,0.6544906327247619,0.6373865694999694,0.46634593725204465,0.0
9,0.6535605838853815,0.6514077657833941,0.6320324028655077,0.43827877368664425,0.0
10,0.6513215599000001,0.6489162736604,0.627268697504,0.41079293594,0.0
11,0.6495061005186076,0.6468482736763256,0.6229278320957887,0.3837234162904202,0.0
12,0.6480043719858628,0.6450939510003308,0.6189001621305416,0.35696227343264875,0.0
13,0.6467415015288395,0.6435784457208893,0.6151109434493397,0.33043592073384287,0.0
14,0.6456646897801412,0.6422489675173725,0.6115074671524533,0.30409246350326197,0.0
15,0.6447356335058558,0.6410672197048207,0.6080514954955044,0.2778942534023423,0.0
16,0.6439258695482072,0.6400047439830987,0.6047146138971219,0.25181331303735455,0.0
17,0.6432138052537073,0.6390399513779821,0.601475266496455,0.22582841768118622,0.0
18,0.6425827632053366,0.638156167310258,0.5983168042545521,0.19992317369749424,0.0
19,0.6420196577965364,0.6373403083972826,0.5952261638039996,0.17408471787116875,0.0
20,0.6415140775914578,0.6365819649707259,0.5921929513841412,0.14830281551829147,0.0
21,0.6410576353590469,0.635872751222031,0.5892087939888869,0.12256922165744755,0.0
22,0.640643498904394,0.6352058361140352,0.5862668710008071,0.09687721986852728,0.0
23,0.6402660466198583,0.6345755989909558,0.5833615703308312,0.0712212837295887,0.0
24,0.6399206107144778,0.6339773728516187,0.580488232085888,0.045596824428579076,0.0
25,0.6396032831419816,0.6334072503105619,0.5776429548277835,0.02,0.0
26,0.6393107670634959,0.6328619350860354,0.5748224472888925,0.01846153846153846,0.0
27,0.6390402618490862,0.6323386270211164,0.5720239135693852,0.017037037037037035,0.0
28,0.638789373103158,0.6318349321244027,0.5692449633156041,0.015714285714285712,0.0
29,0.638556041583005,0.6313487915006423,0.5664835407593763,0.014482758620689656,0.0
30,0.6383384865383892,0.6308784246999287,0.5637378681537827,0.013333333333333334,0.0
31,0.6381351601702971,0.6304222841841854,0.5610064003091806,0.012258064516129033,0.0
32,0.6379447107436835,0.6299790184461642,0.5582877877684919,0.01125,0.0
33,0.6377659524944855,0.6295474419215585,0.5555808467652134,0.010303030303030302,0.0
34,0.6375978409143352,0.6291265102779001,0.5528845345499857,0.009411764705882352,0.0
35,0.6374394523241854,0.6287152999916469,0.5501979289987995,0.00857142857142857,0.0
36,0.6372899668929277,0.6283129913696696,0.547520211660346,0.007777777777777778,0.0
37,0.6371486544416642,0.6279188543559275,0.5448506535842977,0.007027027027027027,0.0
38,0.6370148625146879,0.6275322366044648,0.5421886034124553,0.00631578947368421,0.0
39,0.6368880063058473,0.6271525534074761,0.5395334773221352,0.005641025641025641,0.0
40,0.6367675601121195,0.6267792791503255,0.5368847504941803,0.004999999999999999,0.0
41,0.636653050050922,0.6264119400300869,0.5342419498425708,0.004390243902439023,0.0
42,0.6365440478283974,0.6260501078248801,0.5316046477932266,0.0038095238095238104,0.0
43,0.6364401653858714,0.6256933945412342,0.5289724569395015,0.0032558139534883722,0.0
44,0.6363410502834224,0.625341447798434,0.52634502543354,0.002727272727272727,0.0
45,0.6362463817048102,0.6249939468341235,0.5237220329979442,0.002222222222222222,0.0
46,0.6361558669883284,0.6246505990357427,0.5211031874624757,0.001739130434782608,0.0
47,0.6360692386045422,0.624311136918777,0.5184882217468884,0.00127659574468085,0.0
48,0.6359862515151649,0.6239753154860737,0.5158768912242532,0.000833333333333334,0.0
49,0.6359066808581401,0.6236429099133204,0.5132689714099447,0.0004081632653061228,0.0
50,0.6358303199128829,0.6233137135146252,0.5106642559303061,0.0,0.0
51,0.6357569783069,0.6229875359494396,0.5080625547322926,0.0,0.0
52,0.6356864804310293,0.6226642016380637,0.5054636925013751,0.0,0.0
53,0.635618664035524,0.6223435483579706,0.5028675072599925,0.0,0.0
54,0.6355533789833575,0.6220254259973169,0.500273849122952,0.0,0.0
55,0.6354904861405781,0.6217096954454855,0.49768257918965075,0.0,0.0
56,0.6354298563864574,0.6213962276034006,0.49509356855589104,0.0,0.0
57,0.6353713697286105,0.6210849024987983,0.4925066974304874,0.0,0.0
58,0.6353149145103213,0.6207756084936816,0.4899218543439266,0.0,0.0
59,0.6352603866990602,0.6204682415729622,0.4873389354380819,0.0,0.0
60,0.6352076892466552,0.6201627047047352,0.48475784382745785,0.0,0.0
61,0.6351567315128309,0.6198589072639179,0.48217848902370003,0.0,0.0
62,0.6351074287449147,0.6195567645120408,0.47960078641617565,0.0,0.0
63,0.6350597016074327,0.6192561971269254,0.47702465680236,0.0,0.0
64,0.6350134757560927,0.6189571307767366,0.4744500259625329,0.0,0.0
65,0.6349686814513502,0.6186594957336145,0.4718768242739987,0.0,0.0
66,0.6349252532073288,0.6183632265226554,0.46930498636059437,0.0,0.0
67,0.6348831294723849,0.6180682616025253,0.4667344507737858,0.0,0.0
68,0.6348422523380223,0.617774543074428,0.4641651597020804,0.0,0.0
69,0.6348025672732832,0.6174820164165403,0.4615970587058569,0.0,0.0
70,0.6347640228820398,0.6171906302413432,0.45903009647506904,0.0,0.0
71,0.6347265706809196,0.6169003360735813,0.45646422460753816,0.0,0.0
72,0.6346901648958413,0.6166110881468412,0.45389939740583896,0.0,0.0
73,0.6346547622753782,0.6163228432169369,0.45133557169096783,0.0,0.0
74,0.6346203219193338,0.6160355603905213,0.44877270663121116,0.0,0.0
75,0.6345868051211132,0.61574920096748,0.4462107635847791,0.0,0.0
76,0.6345541752226036,0.6154637282958361,0.443649705954932,0.0,0.0
77,0.6345223974804298,0.6151791076380325,0.44108949905645733,0.0,0.0
78,0.6344914389425502,0.6148953060475429,0.43853010999247444,0.0,0.0
79,0.6344612683342757,0.6146122922549123,0.4359715075406445,0.0,0.0
80,0.6344318559528833,0.6143300365623908,0.4334136620479606,0.0,0.0
81,0.6344031735700746,0.6140485107464047,0.4308565453333707,0.0,0.0
82,0.6343751943416138,0.613767687967209,0.4283001305975644,0.0,0.0
83,0.6343478927235218,0.6134875426851012,0.42574439233931255,0.0,0.0
84,0.6343212443942958,0.613208050582647,0.42318930627781237,0.0,0.0
85,0.6342952261826401,0.6129291884924306,0.4206348492805429,0.0,0.0
86,0.634269816000268,0.6126509343298588,0.4180809992961759,0.0,0.0
87,0.634244992779357,0.612373267030636,0.4155277352921409,0.0,0.0
88,0.6342207364142917,0.6120961664925084,0.41297503719646095,0.0,0.0
89,0.6341970277073492,0.6118196135209674,0.4104228858435328,0.0,0.0
90,0.6341738483180274,0.6115435897785785,0.40787126292353776,0.0,0.0
91,0.6341511807157272,0.6112680777376744,0.40532015093520224,0.0,0.0
92,0.63412900813553,0.6109930606361426,0.4027695331416553,0.0,0.0
93,0.6341073145368532,0.6107185224360823,0.40021939352914376,0.0,0.0
94,0.6340860845647419,0.6104444477851072,0.3976697167683989,0.0,0.0
95,0.6340653035136277,0.6101708219801099,0.39512048817844914,0.0,0.0
96,0.6340449572933582,0.6098976309332931,0.3925716936927086,0.0,0.0
97,0.634025032397334,0.6096248611403176,0.3900233198271685,0.0,0.0
98,0.6340055158726123,0.6093524996504056,0.3874753536505484,0.0,0.0
99,0.6339863952918197,0.6090805340382639,0.3849277827562594,0.0,0.0
